Geo,Week_Start_Date,Week,Unit_Sales,FK_Search_Volume,Total_Nothing_TV_GRPs,Total_TV_Impressions,Total_Nothing_TV_Spends,Print_Spends,Print_Impressions,Competition_TV_GRPs,Competition_Total_Media_Spends,GQV,Flag_Product_Launch_Phone2,Flag_Product_Launch_Phone2a,Digital_Impressions_excl_Sport,Digital_Sports_Impressions,Flag_Product_Launch,Digital_Spends_Sports,Digital_Spends_Excl_Sports,Population,Flag_Product_Launch_CMFP1
Geo0,2023-07-09,28_2023,12112,2044534,83,52131971,9500444,0,0,505,358072315,2488845,1,0,0,0,1,0,0,50000000,0
Geo0,2023-07-16,29_2023,13333,625268,179,112480696,22942363,0,0,476,584927350,2488845,0,0,0,0,0,0,0,50000000,0
Geo0,2023-07-23,30_2023,7913,454562,158,98972487,23016777,0,0,513,921661797,2488845,0,0,0,0,0,0,0,50000000,0
Geo0,2023-07-30,31_2023,6573,984014,124,77714949,16087871,0,0,1284,847867432,1573131,0,0,0,0,0,0,407201,50000000,0
Geo0,2023-08-06,32_2023,5781,820443,46,28659980,3910739,0,0,795,807006245,1206845,0,0,0,0,0,0,1491613,50000000,0
Geo0,2023-08-13,33_2023,4187,584641,7,4212577,1169590,0,0,339,432159152,1206845,0,0,0,0,0,0,1528016,50000000,0
Geo0,2023-08-20,34_2023,4207,534691,0,19887,3060,0,0,192,522347845,1206845,0,0,0,0,0,0,1665412,50000000,0
Geo0,2023-08-27,35_2023,3936,703638,0,0,0,0,0,170,234763628,1182548,0,0,0,0,0,0,2220161,50000000,0
Geo0,2023-09-03,36_2023,3444,502623,0,0,0,0,0,273,373807190,1121806,0,0,0,0,0,0,435437,50000000,0
Geo0,2023-09-10,37_2023,2943,526670,0,0,0,0,0,279,463845048,1121806,0,0,0,0,0,0,0,50000000,0
Geo0,2023-09-17,38_2023,2431,564677,0,0,0,0,0,293,881806177,1121806,0,0,0,0,0,0,0,50000000,0
Geo0,2023-09-24,39_2023,6453,1177429,0,0,0,0,0,250,525774564,1121806,0,0,0,0,0,0,0,50000000,0
Geo0,2023-10-01,40_2023,20643,1868951,0,0,0,0,0,536,803075213,1478500,0,0,0,0,0,0,0,50000000,0
Geo0,2023-10-08,41_2023,19814,2229683,0,0,0,0,0,552,744747253,1478500,0,0,0,0,0,0,0,50000000,0
Geo0,2023-10-15,42_2023,5816,819227,0,0,0,0,0,268,835090254,1478500,0,0,0,0,0,0,0,50000000,0
Geo0,2023-10-22,43_2023,4832,655822,0,0,0,0,0,323,867067876,1478500,0,0,0,0,0,0,0,50000000,0
Geo0,2023-10-29,44_2023,4208,707071,0,0,0,0,0,324,1273452251,1217788,0,0,0,0,0,0,0,50000000,0
Geo0,2023-11-05,45_2023,5532,677206,0,0,0,0,0,275,1298262720,1022253,0,0,0,0,0,0,0,50000000,0
Geo0,2023-11-12,46_2023,2322,440388,0,0,0,0,0,221,233899948,1022253,0,0,0,0,0,0,0,50000000,0
Geo0,2023-11-19,47_2023,1394,342861,0,0,0,0,0,248,303991427,1022253,0,0,0,0,0,0,0,50000000,0
Geo0,2023-11-26,48_2023,1483,358516,0,0,0,0,0,602,564835598,1045595,0,0,0,0,0,0,0,50000000,0
Geo0,2023-12-03,49_2023,3034,405890,0,0,0,0,0,431,461608013,1103951,0,0,0,0,0,0,0,50000000,0
Geo0,2023-12-10,50_2023,4709,444815,0,0,0,0,0,212,445063282,1103951,0,0,0,0,0,0,0,50000000,0
Geo0,2023-12-17,51_2023,3137,383683,0,0,0,0,0,123,244546890,1103951,0,0,0,0,0,0,0,50000000,0
Geo0,2023-12-24,52_2023,3913,651259,0,0,0,0,0,26,144570953,1261659,0,0,0,0,0,0,0,50000000,0
Geo0,2023-12-31,1_2024,709,461382,0,0,0,0,0,191,784559324,824965,0,0,0,0,0,0,0,50000000,0
